,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,Daily Growth Rate of Cases (%),Daily Growth Rate of Deaths (%),Cases per 1M Population,DeathRate,RecoveryRate,HighMortalityRisk,SurvivalRate
186,Bhutan,Asia,772443.0,105,0.0,0.0,0.0,93.0,0.0,12.0,0.0,136.0,0.0,54589.0,70671.0,South-EastAsia,0.0,,0.00013593236005763533,0.0,0.8857142857142857,False,True
187,Antigua and Barbuda,North America,98010.0,92,0.0,3.0,0.0,76.0,0.0,13.0,1.0,939.0,31.0,1500.0,15305.0,Americas,0.0,0.0,0.0009386797265585144,0.03260869565217391,0.8260869565217391,True,True
188,Liechtenstein,Europe,38139.0,89,0.0,1.0,0.0,85.0,0.0,3.0,0.0,2334.0,26.0,900.0,23598.0,Europe,0.0,0.0,0.00233356931225255,0.011235955056179775,0.9550561797752809,False,True
189,Belize,North America,398312.0,86,0.0,2.0,0.0,31.0,0.0,53.0,2.0,216.0,5.0,3679.0,9236.0,Americas,0.0,0.0,0.00021591114503203518,0.023255813953488372,0.36046511627906974,False,False
190,French Polynesia,Australia/Oceania,281072.0,64,0.0,0.0,0.0,62.0,0.0,2.0,0.0,228.0,0.0,5849.0,20810.0,0,0.0,,0.0002276996641429954,0.0,0.96875,False,True
191,St. Vincent Grenadines,North America,110976.0,56,0.0,0.0,0.0,46.0,0.0,10.0,0.0,505.0,0.0,2447.0,22050.0,0,0.0,,0.0005046136101499423,0.0,0.8214285714285714,False,True
192,Saint Martin,North America,38729.0,53,0.0,3.0,0.0,41.0,0.0,9.0,1.0,1368.0,77.0,1183.0,30546.0,0,0.0,0.0,0.0013684835652869943,0.05660377358490566,0.7735849056603774,True,True
193,Macao,Asia,650193.0,46,0.0,0.0,0.0,46.0,0.0,0.0,0.0,71.0,0.0,4071.0,6261.0,0,0.0,,7.074822398887715e-05,0.0,1.0,False,True
194,Curaçao,North America,164161.0,31,0.0,1.0,0.0,28.0,0.0,2.0,0.0,189.0,6.0,1080.0,6579.0,0,0.0,0.0,0.00018883900561034595,0.03225806451612903,0.9032258064516129,True,True
195,Fiji,Australia/Oceania,897095.0,27,0.0,1.0,0.0,18.0,0.0,8.0,0.0,30.0,1.0,6693.0,7461.0,WesternPacific,0.0,0.0,3.009714690194461e-05,0.037037037037037035,0.6666666666666666,True,False
196,Saint Lucia,North America,183712.0,25,0.0,0.0,0.0,24.0,0.0,1.0,0.0,136.0,0.0,3895.0,21202.0,Americas,0.0,,0.00013608256401323812,0.0,0.96,False,True
197,Timor-Leste,Asia,1320812.0,25,0.0,0.0,0.0,24.0,0.0,1.0,0.0,19.0,0.0,4238.0,3209.0,South-EastAsia,0.0,,1.8927750504992385e-05,0.0,0.96,False,True
198,Grenada,North America,112576.0,24,0.0,0.0,0.0,23.0,0.0,1.0,0.0,213.0,0.0,6252.0,55536.0,Americas,0.0,,0.00021318931210915292,0.0,0.9583333333333334,False,True
199,New Caledonia,Australia/Oceania,285769.0,22,0.0,0.0,0.0,22.0,0.0,0.0,0.0,77.0,0.0,11099.0,38839.0,0,0.0,,7.698525732322261e-05,0.0,1.0,False,True
200,Laos,Asia,7285750.0,20,0.0,0.0,0.0,19.0,0.0,1.0,0.0,3.0,0.0,29374.0,4032.0,WesternPacific,0.0,,2.7450845829187114e-06,0.0,0.95,False,True
201,Dominica,North America,72004.0,18,0.0,0.0,0.0,18.0,0.0,0.0,0.0,250.0,0.0,1005.0,13958.0,Americas,0.0,,0.00024998611188267316,0.0,1.0,False,True
202,Saint Kitts and Nevis,North America,53237.0,17,0.0,0.0,0.0,16.0,0.0,1.0,0.0,319.0,0.0,1146.0,21526.0,Americas,0.0,,0.00031932678400360654,0.0,0.9411764705882353,False,True
203,Greenland,North America,56780.0,14,0.0,0.0,0.0,14.0,0.0,0.0,0.0,247.0,0.0,5977.0,105266.0,Europe,0.0,,0.0002465656921451215,0.0,1.0,False,True
204,Montserrat,North America,4992.0,13,0.0,1.0,0.0,10.0,0.0,2.0,0.0,2604.0,200.0,61.0,12220.0,0,0.0,0.0,0.0026041666666666665,0.07692307692307693,0.7692307692307693,True,True
205,Caribbean Netherlands,North America,26247.0,13,0.0,0.0,0.0,7.0,0.0,6.0,0.0,495.0,0.0,424.0,16154.0,0,0.0,,0.0004952947003467063,0.0,0.5384615384615384,False,False
206,Falkland Islands,South America,3489.0,13,0.0,0.0,0.0,13.0,0.0,0.0,0.0,3726.0,0.0,1816.0,520493.0,0,0.0,,0.003725995987388937,0.0,1.0,False,True
207,Vatican City,Europe,801.0,12,0.0,0.0,0.0,12.0,0.0,0.0,0.0,14981.0,0.0,0.0,0.0,Europe,0.0,,0.0149812734082397,0.0,1.0,False,True
208,Western Sahara,Africa,598682.0,10,0.0,1.0,0.0,8.0,0.0,1.0,0.0,17.0,2.0,0.0,0.0,Africa,0.0,0.0,1.6703358377235327e-05,0.1,0.8,True,True
